username,tr,rank,glicko,rd,apm,pps,vs
mnimj,3133.941159033355,c+,1052.701498846219,64.69438604274755,11.44,1.06,23.75
strawberry_chaye,3133.8395050031427,c+,1015.7345577498257,66.18714029964968,12.61,0.99,23.41
fenglin722,3133.799779471924,c+,1016.104375255393,61.03030155112369,10.88,0.64,25.22
elyshor,3133.773348371187,c+,1276.7374157609509,91.17788052594783,13.65,0.96,28.78
kert225,3133.655031750388,c+,1016.0914160474728,61.02136398602912,14.34,0.99,26.36
anyway_,3133.38410550511,c+,1013.2569020764663,78.64921585492702,15.34,0.74,30.03
rastol,3133.021112086443,c+,1013.427016326116,96.00646440272774,12.45,0.98,23.68
tacomaneaf5-9,3132.350478128399,c+,1012.7109370491071,70.96929094859095,13.72,0.83,29.19
kyshi_00,3131.9141250237476,c+,1007.6846944149643,97.00824796055296,9.68,0.69,22.22
gabessssssss,3131.7632527940063,c+,1012.6772369936948,70.8745301849726,12.82,0.9,25.93
akrsoyoun01,3131.7071177597113,c+,1015.4391236401327,97.37773302573966,9.63,0.72,21.08
ronnalove,3130.6475063247144,c+,1014.292887094435,93.55008593416512,10.46,0.82,20.5
salabugang,3130.162693310405,c+,1009.1135483264095,95.13764764545401,11.19,0.77,23.6
pokuma,3129.6977477204287,c+,1166.9013492853992,85.92192804127679,11.74,0.74,24.06
mysunandstars,3129.5202904320627,c+,1210.1520160489576,95.8068199861711,17.31,0.99,36.69
curtale,3129.3303228075374,c+,1030.0155193131231,74.88433194670408,9.75,0.83,21.12
not_pikaju,3129.1225572008366,c+,1274.991525910631,99.9,9.53,0.92,21.06
jdgry,3129.098415056145,c+,1013.4722442824257,67.54545438673635,12.73,0.9,26.17
phrogsrqt,3128.9340110802896,c+,1015.5053887604948,61.23404443931994,13.4,0.94,28.61
syles,3128.6764558080263,c+,1015.403857302741,87.46046560040935,13.19,0.77,24.97
geo_0098,3128.5621214168355,c+,1128.5642022290724,72.24231706493127,10.92,0.88,27.15
_misa___to__,3128.4811858605312,c+,1015.164338197043,62.13381331014436,15.16,0.78,30.4
baobao18,3128.4765804498797,c+,1252.50744893386,95.00349947905252,10.26,0.79,24.16
greatinyoung,3127.9041951334384,c+,1015.3228466997341,76.44908873486611,14.99,0.73,28.57
kds8613,3127.5717790616595,c+,1015.2974558103199,61.414901888033306,15.28,1.24,31.35
lindenmayer,3127.08249393711,c+,1015.2798878627276,61.30340908039476,11.75,0.84,25.78
karuresu,3127.001574745432,c+,1044.6065070846385,88.83986549698115,12.17,0.84,26.28
lxtimer,3126.9789841111856,c+,1323.790345046973,99.94349866804184,19.28,1.06,37.23
wilfredee,3126.906713151205,c+,1013.8521373198466,99.6404347945266,7.53,0.88,16.88
8doyao_o,3126.3453007384023,c+,1208.6631173029057,98.86068399303154,9.47,0.88,21.68
jnnii,3125.846578023065,c+,1011.5916178932144,85.19234331308138,8.51,0.57,21.67
agenstaaa,3125.7573170292567,c+,1009.353923576021,78.9400068432621,11.74,0.73,27.47
d2overdtsqaured,3125.651133288528,c+,1015.1423923845252,69.24306600801157,11.22,0.82,21.02
rakkxii_,3125.455184812855,c+,1014.6868877904637,78.5818239783265,13.12,0.79,26.71
samsamdkhow2play,3125.0015472689315,c+,1003.7826895290684,95.29869380297534,10.96,0.84,22.14
spellmediocrity,3124.360990763996,c+,1015.089099646388,60.97046942859117,11,0.83,23.38
eatnuts,3124.286824659789,c+,1014.7731676118701,61.92025251463058,15.61,0.76,27.93
mouse_manson,3123.7788251830307,c+,1086.6813564881113,77.73428710346278,10.88,0.96,24.59
suiiiiilemoiii,3123.0056675758306,c+,1014.5614790439126,87.13902055775989,15.89,1.15,30.91
906tl,3122.086546735205,c+,1005.0780350603882,94.50177972794077,9.2,0.9,19.49
ruvyzvat21,3122.0081849291887,c+,1005.088636107383,90.4443083791392,10.09,0.82,24.2
yulin0210,3121.9496094829715,c+,1001.9449291950552,99.68972832660816,9.41,0.82,18.73
aronnn,3121.5937491275927,c+,1013.8499843715098,63.851168287322544,12.13,1.26,23.34
khsblg,3121.470189118297,c+,1013.2616534213021,65.61576993928675,10.88,0.74,23.61
ilypooopooo,3121.0699808559325,c+,1014.6705610738452,79.14696560512226,13.5,0.61,25.58
polenmii,3120.7580659753594,c+,1014.4205457873677,61.81216202512648,10.63,0.79,23.21
rs240,3120.2330466304857,c+,1008.8799182408058,78.51883944363732,8.08,0.9,15.28
jbwisking,3120.215802674728,c+,1013.3203850041548,65.01172084985683,10.06,0.68,21.5
teyieee,3119.80389986544,c+,1014.3504283700563,64.70502789335302,12.37,0.85,27.17
nadyne,3119.7052624732205,c+,1014.5445633750478,61.07311388550896,13.58,1.06,27.63
donyy28,3119.473065773382,c+,1007.4008845919059,92.7079938021922,9.32,0.89,20.5
akumoria,3119.3282849250745,c+,1122.3943247070924,92.92951055286102,13.62,0.99,30.07
leduongly,3118.6082055972124,c+,1013.803104923569,73.9851028067988,13.28,0.93,26.31
divatetris,3118.4927330784612,c+,1014.3025108436061,61.40847435074718,10.52,0.9,22.28
mapuasworstenemy,3117.9772090356023,c+,1168.7901414300643,96.46484457212784,15.53,0.89,35.02
choitcherry,3117.298747058581,c+,1231.424200940202,93.75619161497244,13.57,0.97,31.59
strwbrryjmh,3117.218691862906,c+,1022.1375673470029,95.24942986686224,11.28,0.88,19.91
____jeeeeeeeen17,3115.878385604522,c+,1105.8759076733363,77.27335279410715,12.67,0.8,29.76
vans03,3115.8113760187657,c+,1013.1269442746873,81.11604380707648,13,0.83,24.27
zwaih,3115.3462375788336,c+,1207.612193608684,93.97828323302475,13.33,1.02,30.73
antimattur,3115.290025225837,c+,1107.5850556722637,88.59085874828484,15.99,1.02,32.85
mickelps3,3114.8882941062634,c+,1298.0057561400586,96.76455959040906,13.56,0.72,29.22
cedricfreshbeats,3113.610562064972,c+,1013.4544954137587,62.364985750764625,11.05,1.14,21.46
softranhh,3113.559017775118,c+,1013.4598140109296,62.33117580884883,12,0.92,22.78
bodhi66,3113.546802980248,c+,1011.7516777473634,67.56065071409996,13.01,0.82,28.41
itzprow14j,3113.3544859964913,c+,1003.6390424405088,91.86135586799264,12.69,0.73,25.76
simonvelaa,3112.9233657990367,c+,1013.802988644805,61.05981913730041,10.55,0.86,22.44
coldrooster,3112.441822453851,c+,1010.3048213688056,93.59326752061014,11.93,1.1,24.69
anarrrr_r,3111.877780741684,c+,1027.199352386409,81.75292530198782,11.06,0.79,24.85
